소스 파일,페이지 번호,추정 문제 번호,추출된 텍스트
2022.pdf,36,29,"29. 그림과 같이 길이가 인 선분 AB를 지름으로 하는 반원이 
있다. 호 AB 위에 두 점 P, Q를 ∠PAB , ∠QBA 가 
되도록 잡고, 두 선분 AP, BQ의 교점을 R라 하자.
선분 AB 위의 점 S , 선분 BR 위의 점 T , 선분 AR 위의 점 U 를 
선분 UT 가 선분 AB에 평행하고 삼각형 STU 가 정삼각형이 
되도록 잡는다. 두 선분 AR, QR와 호 AQ로 둘러싸인 부분의 
넓이를 , 삼각형 STU 의 넓이를 라 할 때, 
lim
→
×


이다. 의 값을 구하시오. 
(단, 
이고, 와 는 서로소인 자연수이다.) [4점]"
2022.pdf,36,30,"30. 실수 전체의 집합에서 증가하고 미분가능한 함수 가 
다음 조건을 만족시킨다. 
(가) , 




(나) 함수 의 역함수를 라 할 때, 
≥인 모든 실수 에 대하여 이다. 



′
일 때, 의 값을 구하시오. 
(단, 와 는 서로소인 자연수이다.) [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(기하)｣ 문제가 제시되오니, 자신이 선택한 
과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,37,N/A,"짝수형
(기하)
3
17
20
5지선다형"
2022.pdf,37,23,"23. 좌표공간의 점 A을 평면에 대하여 대칭이동한 
점을 P 라 하고, 점 A 를 평면에 대하여 대칭이동한 점을 
Q라 할 때, 선분 PQ의 길이는? [2점]
①
②

③
④

⑤
"
2022.pdf,37,24,"24. 한 초점의 좌표가 인 쌍곡선 





의 
주축의 길이는? (단, 는 양수이다.) [3점]
①
②


③
④


⑤
2022학년도 대학수학능력시험 문제지
(기하)
제2 교시
1
짝수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,38,N/A,"2
(기하)
짝수형
18
20"
2022.pdf,38,25,"25. 좌표평면에서 두 직선 


,



가 이루는 예각의 크기를 라 할 때, cos의 값은? [3점]
①

②


③


④


⑤

"
2022.pdf,38,26,"26. 두 초점이 F , F′ 인 타원 





 위의 점 중 
제사분면에 있는 점 A 가 있다. 두 직선 AF , AF′ 에 동시에 
접하고 중심이 축 위에 있는 원 중 중심의 좌표가 음수인 
것을 라 하자. 원 의 중심을 B라 할 때 사각형 AFBF′ 의 
넓이가 이다. 원 의 반지름의 길이는? [3점]
①


②
③


④
⑤


이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,39,N/A,"짝수형
(기하)
3
19
20"
2022.pdf,39,27,"27. 그림과 같이 한 모서리의 길이가 인 정육면체 ABCD- EFGH 가 
있다. 선분 AD의 중점을 M이라 할 때, 삼각형 MEG의 넓이는? 
[3점]
①


②
③


④
⑤

"
2022.pdf,39,28,"28. 두 양수 , 에 대하여 포물선 의 초점을 
F이라 하고, 포물선 의 초점을 F라 하자. 
선분 FF가 두 포물선과 만나는 점을 각각 P , Q라 할 때, 

FF, 
PQ 이다. 의 값은? [4점]
①
②


③


④


⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2022.pdf,40,N/A,"4
(기하)
짝수형
20
20
단답형"
2022.pdf,40,29,"29. 좌표평면에서 
OA , 
OB 이고 
cos∠AOB
인 평행사변형 OACB에 대하여 점 P 가 다음 
조건을 만족시킨다.
(가) 
OP 
OA 
OB (≤≤, ≤≤)
(나) 
OP ⋅
OB 
BP ⋅
BC 
점 O를 중심으로 하고 점 A 를 지나는 원 위를 움직이는 점 X에 
대하여 
OP 
OX 의 최댓값과 최솟값을 각각 , 이라 
하자. ×일 때, 의 값을 구하시오. 
(단, 와 는 유리수이다.) [4점]"
2022.pdf,40,30,"30. 좌표공간에 중심이 C이고 점 P을 
지나는 구

가 있다. 구 가 평면 OPC와 만나서 생기는 원 위를 움직이는 
점 Q, 구  위를 움직이는 점 R에 대하여 두 점 Q, R의 평면 
위로의 정사영을 각각 Q, R이라 하자. 
삼각형 OQR의 넓이가 최대가 되도록 하는 두 점 Q, R에 
대하여 삼각형 OQR의 평면 PQR 위로의 정사영의 넓이는 

이다. 의 값을 구하시오. 
(단, O는 원점이고 세 점 O, Q, R은 한 직선 위에 있지 
않으며, 와 는 서로소인 자연수이다.) [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
